text_id,a_name,e_name,old_group,new_group,date,text_name,category,present,value_count,values
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Weiterverarbeitung der Mischung von Spiritus und Sal volatile,0,0,
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Sal Volatile extra gewinnen,1,4,aus frischer Erde; 6 Pfund Erde; aus Retorte destillieren; kein Wasser vorlegen
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Extraktion Sal Fixum,1,5,"bereits verwendete Erde calcinieren; Extraktion mit Wasser; destilliertes Wasser; Extrakt reinigen; Reinigen mit mehrmaligem Lösen, Filtrieren, Koagulieren und Auskristallisieren"
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Nasser und trockener Weg,1,1,Nein
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Zusammenfügung von zwei Prinzipien,0,0,
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Zusammenfügung der drei Prinzipien,1,1,"Sal Volatile, Sal Fixum und Spiritus zusammengeben"
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Bezeichnung des Lösungsmittels,1,2,Mercurius Triumphans Philosophicus; Menstruum Universale
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Salz mit Gold und Silber zusammenschmelzen,0,0,
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Auflösung von Gold,1,6,Qualität des Goldes; natürliches Gold; Verhältnis Gold : Menstruum Universale 1 : 10; Gold löst sich auf; Abfiltrieren; Goldlösung in Phiole überführen
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Beschreibung des Athanors,1,4,3 Kugeln; 1. Kugel die größte; 2. Kugel voller Löcher; 3. Kugel Eichenholz
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Erzeugung des Rubinkorns,1,20,gefüllte Phiole in Athanor; 1. Phiole in Wasserdampf; 1a. 40-50 Tage im Wasserdampf; 1b. im Wasserdampf Putrefaction; 2. Phiole in Aschebad; 2a: 50 Tage im Aschebad; 2b: im Aschebad Pfauenschwanz; 3. Phiole in halben Sandbad; 3a: Phiole schaut aus Sand heraus; 3b: 50 Tage im halben Sandbad; 3c: zuerst im halben Sandbad Weiß; 3d: weitere 30 Tage im halben Sandbad; 3e: im halben Sandbad jetzt Gelb; 4: Phiole komplett im Sandbad; 4a: Zeit unbestimmt; 4b: im kompletten Sandbad Rot; 4c: im kompletten Sandbad in der Mitte Rubinkorn; Rubinkorn ist Linsengroß; 4d: im kompletten Sandbad außen rotes Pulver; 5: rotes Rubinkorn entnehmen
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Bezeichnung des Rubinkorns,1,2,Goldsamen; das rechte philosophische lebendige Gold
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Weiterer Syntheseschritt,1,1,Secunda Compositio
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Zwischenanalyse,1,1,auf glühendem Silberblech
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Multiplikation,1,6,Verhältnis Rubinkorn : Menstruum Universale 1 : 10; im Athanor durch alle Farben; schnellere Wiederholung der ersten Operation; mehrfache Multiplikation; nach 1. Multiplication kann die Tinktur 10 Teile tingieren; jede Multiplikation verzehnfacht die Kraft der Tinktur
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Fermentation,0,0,
g2a3,A3,E38,2,III,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,Projection,0,0,
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Zuschreibung der Vorschrift,1,1,Sendivogius
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Philosophische Vorbetrachtung,1,1,die Erde ist aller Sachen Samen
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Datierung der Probenahme,1,2,März; Sonne im Sternbild Widder
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Ort der Probenahme,0,0,
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Art der Erde,1,2,"Erde durch Sonne, Mond und Sterne imprägniert; Tonerde"
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Art der Probenahme,0,0,
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Aufteilung der Erde,1,1,Erde in 2 Teile teilen
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Fundort der Erde,0,0,
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Imprägnation der Erde,0,0,
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Extraktion,1,1,wie Salpetersieder
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Eindampfen,1,2,Sieden; Salz wird gereinigt
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Bezeichnung des ausgelaugten Salzes,1,1,Nitro
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Weiterverarbeitung Erdsalz,1,13,ausgelaugte Erde calcinieren; Erdsalz und calcinierte Erde vermischen; Verhältnis Erdsalz zu Erde 1:3; keine Kugeln; maximal 6 Pfund pro Ansatz; Mischung in Retorte geben; in Vorlage Wasser; 2 Pfund Wasser; destilliertes Regenwasser; Spiritus geht über; Spiritus rot; Spiritus rektifizieren; Spiritus kühl lagern
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Weiterverarbeitung der Mischung von Spiritus und Sal volatile,0,0,
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Sal Volatile extra gewinnen,1,4,aus frischer Erde; 6 Pfund Erde; aus Retorte destillieren; kein Wasser vorlegen
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Extraktion Sal Fixum,1,5,"bereits verwendete Erde calcinieren; Extraktion mit Wasser; destilliertes Regenwasser; Extrakt reinigen; Reinigen mit mehrmaligem Lösen, Filtrieren, Koagulieren und Auskristallisieren"
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Nasser und trockener Weg,1,1,Nein
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Zusammenfügung von zwei Prinzipien,0,0,
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Zusammenfügung der drei Prinzipien,1,1,"Sal Volatile, Sal Fixum und Spiritus zusammengeben"
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Bezeichnung des Lösungsmittels,1,2,Mercurius Triumphans Philosophorum; Menstruum Universale
g2a4,A4,E44,2,III,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",Salz mit Gold und Silber zusammenschmelzen,0,0,
